#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
           1  2.0485e+14  2.0485e+14           0
           2  2.0485e+14  2.0485e+14           0
           3  2.0485e+14  2.0485e+14 2.42158e+06
           4  2.0485e+14  2.0485e+14           0
           5  2.0485e+14  2.0485e+14           0
           6  2.0485e+14  2.0485e+14 1.21079e+06
           7  2.0485e+14  2.0485e+14 1.12097e+06
           8  2.0485e+14  2.0485e+14 1.04858e+06
           9  2.0485e+14  2.0485e+14      988607
          10  2.0485e+14  2.0485e+14 1.32636e+06
          11  2.0485e+14  2.0485e+14 1.26463e+06
          12  2.0485e+14  2.0485e+14 1.21079e+06
          13  2.0485e+14  2.0485e+14      822571
          14  2.0485e+14  2.0485e+14      792649
          15  2.0485e+14  2.0485e+14      765772
          16  2.0485e+14  2.0485e+14      741455
          17  2.0485e+14  2.0485e+14      719317
          18  2.0485e+14  2.0485e+14 1.21079e+06
          19  2.0485e+14  2.0485e+14  1.1785e+06
          20  2.0485e+14  2.0485e+14 1.14866e+06
